95.187.248.192;2020-01-08T15:46:02;Injection
176.114.153.23;2020-01-09T20:25:06;Injection
134.119.218.243;2020-01-10T23:09:15;Injection
5.188.210.4;2020-01-11T07:55:33;Injection
110.82.170.189;2020-01-11T10:10:25;Injection
192.145.127.76;2020-01-12T14:28:31;Injection
134.119.216.167;2020-01-12T14:52:52;Injection
37.99.115.26;2020-01-13T10:05:33;Injection
134.119.189.29;2020-01-13T13:44:13;Injection
5.188.210.52;2020-01-13T15:43:27;Injection
151.106.13.159;2020-01-13T20:29:25;Injection
177.220.174.196;2020-01-13T23:34:44;Injection
216.244.66.250;2020-01-14T01:32:07;Injection
34.66.104.122;2020-01-14T02:42:15;Injection
89.222.249.20;2020-01-14T05:16:54;Injection
77.68.3.93;2020-01-14T07:02:34;Injection
66.70.245.115;2020-01-14T07:42:59;Injection
134.119.193.63;2020-01-14T09:08:45;Injection
45.139.48.7;2020-01-15T12:12:10;Injection
185.136.156.195;2020-01-15T13:41:36;Injection ban: Match on Form content (((\%3C)|<)((\%2F)|\/)*(?:(?:script)|(?:url|a|img|svg|iframe|audio|video|embed|object|input|form|meta)[^.\w]).*?((\%3E)|>|=))
